year,Tariff_RES,iso3c
1989,54.2999992370606,ARG
1990,84.5500030517578,ARG
1991,89.6999969482422,ARG
1992,88.8000030517578,ARG
1993,89.4000015258789,ARG
1994,90.5500030517578,ARG
1995,90.5,ARG
1996,90.0500030517578,ARG
1997,89.75,ARG
1998,88.8499984741211,ARG
1999,88.8499984741211,ARG
2000,89.6999969482422,ARG
2001,89.1269989013672,ARG
2002,88.1539916992188,ARG
2003,84.0922241210938,ARG
2004,85.6717376708984,ARG
2005,86.9943466186524,ARG
2006,,ARG
1970,,BOL
1971,,BOL
1972,,BOL
1973,,BOL
1974,,BOL
1975,,BOL
1976,,BOL
1977,,BOL
1978,,BOL
1979,,BOL
1980,,BOL
1981,,BOL
1982,,BOL
1983,,BOL
1984,,BOL
1985,90.4748611450195,BOL
1986,85,BOL
1987,84.9000015258789,BOL
1988,82.8000030517578,BOL
1989,85.75,BOL
1990,87.6999969482422,BOL
1991,91.25,BOL
1992,91.4000015258789,BOL
1993,91.6999969482422,BOL
1994,90.9000015258789,BOL
1995,91.3000030517578,BOL
1996,91.75,BOL
1997,91.75,BOL
1998,91.4499969482422,BOL
1999,91.6999969482422,BOL
2000,92.0500030517578,BOL
2001,93.2893218994141,BOL
2002,93.1087265014648,BOL
2003,93.0816192626953,BOL
2004,92.9918518066406,BOL
2005,93.0570526123047,BOL
2006,,BOL
1970,,BRA
1971,,BRA
1972,,BRA
1973,,BRA
1974,,BRA
1975,,BRA
1976,,BRA
1977,,BRA
1978,,BRA
1979,,BRA
1980,51,BRA
1981,51,BRA
1982,52,BRA
1983,52,BRA
1984,51,BRA
1985,49,BRA
1986,49,BRA
1987,49,BRA
1988,59,BRA
1989,65,BRA
1990,67.8000030517578,BRA
1991,74.6999969482422,BRA
1992,78.8000030517578,BRA
1993,85.8000030517578,BRA
1994,88.0999984741211,BRA
1995,88.9000015258789,BRA
1996,88.1999969482422,BRA
1997,88,BRA
1998,85.4000015258789,BRA
1999,85.5999984741211,BRA
2000,85.9000015258789,BRA
2001,86.8000030517578,BRA
2002,87,BRA
2003,88,BRA
2004,86.5999984741211,BRA
2005,87.6500015258789,BRA
2006,,BRA
1970,,CHL
1971,,CHL
1972,,CHL
1973,,CHL
1974,,CHL
1975,,CHL
1976,,CHL
1977,,CHL
1978,,CHL
1979,,CHL
1980,88.5454559326172,CHL
1981,86.2545471191406,CHL
1982,87.7272720336914,CHL
1983,81.1818161010742,CHL
1984,74.8000030517578,CHL
1985,81.75,CHL
1986,83.6999969482422,CHL
1987,83.1999969482422,CHL
1988,85.984603881836,CHL
1989,86.2692031860352,CHL
1990,86.5538024902344,CHL
1991,88.8384017944336,CHL
1992,89.1230010986328,CHL
1993,89.407600402832,CHL
1994,89.6921997070313,CHL
1995,89.9767990112305,CHL
1996,90.2808990478516,CHL
1997,90.5460052490234,CHL
1998,90.8306045532227,CHL
1999,91.6152038574219,CHL
2000,92.3998031616211,CHL
2001,93.1844024658203,CHL
2002,94.2321472167969,CHL
2003,95.0922241210938,CHL
2004,96.0610961914062,CHL
2005,96.0610961914062,CHL
2006,,CHL
1970,,COL
1971,,COL
1972,,COL
1973,,COL
1974,,COL
1975,,COL
1976,,COL
1977,,COL
1978,,COL
1979,,COL
1980,59.7279281616211,COL
1981,62.0013542175293,COL
1982,63.3004493713379,COL
1983,60.0527000427246,COL
1984,63.9500007629395,COL
1985,68.0999984741211,COL
1986,72.9499969482422,COL
1987,74.25,COL
1988,76.1999969482422,COL
1989,77.1500015258789,COL
1990,77.3499984741211,COL
1991,82.0500030517578,COL
1992,89.75,COL
1993,90.8000030517578,COL
1994,90.4499969482422,COL
1995,89.6500015258789,COL
